siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_com;insee;nom_com;ptot_com;pmun_com
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3234; Saint-Gérand-de-Vaux;453;445
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3091; Créchy;466;459
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3215; Rongères;550;537
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3289; Treteau;542;539
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3034; Boucé;558;546
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3187; Montoldre;652;635
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3235; Saint-Gérand-le-Puy;1019;1001
240300707;CC Varennes Forterre;CC;TPU;10088;9852;236;14;3298; Varennes-sur-Allier;3931;3855
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3170; Meillers;172;160
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3122; Gipcy;229;222
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3260; Saint-Sornin;232;222
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3169; Meillard;251;249
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3069; Châtillon;311;308
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3214; Rocles;367;362
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3287; Treban;396;390
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3099; Deux-Chaises;425;415
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3183;Le Montet;520;509
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3065; Châtel-de-Neuvre;529;517
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3238; Saint-Hilaire;559;538
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3092; Cressanges;680;661
